Moneda,MXN,returnAritm,returnLog
02/01/23,152.09,0.0030337,0.001315525
03/01/23,150.87,-0.008021566,-0.00349777
04/01/23,151.43,0.003711805,0.001609032
05/01/23,152.54,0.00733012,0.00317182
06/01/23,153.68,0.00747345,0.00323361
09/01/23,154.26,0.003774076,0.001635975
10/01/23,153.66,-0.003889537,-0.001692498
11/01/23,159.64,0.03891709,0.01658089
12/01/23,160.27,0.003946379,0.001710518
13/01/23,159.73,-0.003369314,-0.001465745
16/01/23,164.88,0.032241908,0.013781487
17/01/23,160.93,-0.023956817,-0.010530967
18/01/23,160.83,-0.000621388,-0.000269949
19/01/23,158.86,-0.012248959,-0.005352504
20/01/23,159.39,0.003336271,0.001446512
23/01/23,161.25,0.01166949,0.005038653
24/01/23,161.64,0.002418605,0.001049118
25/01/23,162.18,0.003340757,0.001448454
26/01/23,162.66,0.002959674,0.001283472
27/01/23,162.27,-0.002397639,-0.001042532
30/01/23,161.91,-0.002218525,-0.000964563
31/01/23,164.94,0.0187141,0.008052317
01/02/23,163,-0.011761853,-0.005138386
02/02/23,159.41,-0.02202454,-0.009672043
03/02/23,157.94,-0.009221504,-0.004023428
07/02/23,157.05,-0.005635051,-0.002454193
08/02/23,155.49,-0.009933142,-0.004335477
09/02/23,154.05,-0.009261046,-0.004040761
10/02/23,154.08,0.000194742,8.45671E-05
13/02/23,157.17,0.020054517,0.008623383
14/02/23,157.38,0.001336133,0.000579888
15/02/23,161.63,0.027004702,0.011572432
