Moneda,MXN,returnAritm,returnLog
06/01/22,161.8,-0.002527588,-0.001099107
07/01/22,162.32,0.003213844,0.001393517
10/01/22,163.71,0.008563332,0.003703174
11/01/22,165.46,0.010689634,0.004617811
12/01/22,166.64,0.007131633,0.003086237
13/01/22,167.4,0.00456073,0.001976197
14/01/22,168.39,0.005913978,0.002560843
17/01/22,171.61,0.019122276,0.008226294
18/01/22,169.43,-0.012703222,-0.00555228
19/01/22,166.34,-0.01823762,-0.007993614
20/01/22,167.6,0.007574847,0.003277317
21/01/22,167.67,0.000417661,0.00018135
24/01/22,165.77,-0.011331783,-0.004949427
25/01/22,165.41,-0.002171684,-0.000944176
26/01/22,164.75,-0.003990085,-0.001736338
27/01/22,161.1,-0.02215478,-0.009729883
28/01/22,156.7,-0.027312228,-0.012026544
31/01/22,155.2,-0.009572431,-0.00417728
01/02/22,154.59,-0.003930412,-0.00171032
02/02/22,158.6,0.025939582,0.011121786
03/02/22,152.12,-0.040857503,-0.018116866
04/02/22,154.39,0.01492243,0.00643285
08/02/22,157.27,0.018654058,0.00802672
09/02/22,157.14,-0.000826604,-0.000359138
10/02/22,157.95,0.005154639,0.002232881
11/02/22,159.16,0.007660652,0.0033143
14/02/22,154.64,-0.028399095,-0.012512089
15/02/22,157,0.015261252,0.006577811
16/02/22,159.47,0.015732484,0.006779342
17/02/22,157.77,-0.010660312,-0.004654569
18/02/22,156.77,-0.006338341,-0.002761467
21/02/22,159.39,0.016712381,0.007198112
22/02/22,158.9,-0.00307422,-0.001337173
23/02/22,156.36,-0.015984896,-0.006998235
24/02/22,155.82,-0.003453569,-0.001502462
25/02/22,163.17,0.047169811,0.020017114
28/02/22,165.03,0.011399154,0.004922586
01/03/22,158.4,-0.040174514,-0.017807722
02/03/22,163.26,0.030681818,0.013124615
03/03/22,160.23,-0.018559353,-0.008135959
04/03/22,160.99,0.004743182,0.002055068
07/03/22,159.84,-0.007143301,-0.003113429
08/03/22,161.54,0.010635636,0.004594608
09/03/22,162.01,0.002909496,0.001261743
10/03/22,160.2,-0.01117215,-0.00487931
11/03/22,164.88,0.029213483,0.012505467
14/03/22,164.78,-0.000606502,-0.00026348
15/03/22,164.79,6.0687E-05,2.63552E-05
16/03/22,164.24,-0.003337581,-0.001451917
17/03/22,165.66,0.008645884,0.003738721
18/03/22,166.39,0.004406616,0.001909565
22/03/22,166.47,0.000480798,0.000208758
23/03/22,164.7,-0.010632546,-0.00464238
24/03/22,163.01,-0.010261081,-0.004479352
25/03/22,161.57,-0.008833814,-0.003853522
28/03/22,163.13,0.009655258,0.004173111
29/03/22,167.52,0.026911053,0.011532828
30/03/22,165.12,-0.014326648,-0.006266984
31/03/22,165.36,0.001453488,0.000630784
01/04/22,164.72,-0.003870343,-0.00168413
04/04/22,163.62,-0.006677999,-0.002909945
05/04/22,161.4,-0.013568023,-0.005932858
06/04/22,160.97,-0.002664188,-0.001158586
07/04/22,159.01,-0.012176182,-0.005320506
08/04/22,158.02,-0.006226024,-0.00271238
11/04/22,157.94,-0.000506265,-0.000219924
12/04/22,156.41,-0.009687223,-0.004227618
18/04/22,157.57,0.007416406,0.003209019
19/04/22,159.1,0.00970997,0.004196645
20/04/22,156.9,-0.013827781,-0.006047236
21/04/22,156.68,-0.001402167,-0.000609381
22/04/22,155.03,-0.010531019,-0.004597816
25/04/22,153.94,-0.007030897,-0.003064265
26/04/22,152.94,-0.006496037,-0.002830396
27/04/22,152.79,-0.000980777,-0.000426155
28/04/22,154.01,0.007984816,0.00345399
29/04/22,153.44,-0.003701058,-0.001610331
02/05/22,151.13,-0.015054745,-0.006587907
03/05/22,145.73,-0.035730828,-0.015801717
04/05/22,146.32,0.004048583,0.001754728
05/05/22,143.53,-0.019067797,-0.008361008
06/05/22,138.05,-0.038180171,-0.016906274
09/05/22,141.15,0.022455632,0.009644472
10/05/22,141.69,0.003825717,0.001658318
11/05/22,142.82,0.007975157,0.003449828
12/05/22,147,0.02926761,0.012528306
13/05/22,148.51,0.010272109,0.004438363
16/05/22,153.03,0.030435661,0.01302088
17/05/22,153.27,0.00156832,0.000680579
18/05/22,148.35,-0.032100215,-0.014169607
19/05/22,148.61,0.001752612,0.000760484
20/05/22,147.68,-0.006257991,-0.00272635
23/05/22,147.12,-0.003791983,-0.001649967
24/05/22,147.21,0.000611746,0.000265596
25/05/22,147.34,0.000883092,0.000383353
26/05/22,148.42,0.007329985,0.003171762
27/05/22,148.25,-0.001145398,-0.000497725
30/05/22,149.79,0.010387858,0.004488119
31/05/22,147.43,-0.015755391,-0.006896955
01/06/22,146.04,-0.009428203,-0.004114041
02/06/22,149.17,0.021432484,0.009209665
03/06/22,147.92,-0.008379701,-0.003654592
06/06/22,144.57,-0.022647377,-0.009948717
07/06/22,143.76,-0.005602822,-0.002440117
08/06/22,143.18,-0.004034502,-0.001755706
09/06/22,143.59,0.002863528,0.001241837
10/06/22,141.44,-0.014973188,-0.006551948
13/06/22,143.72,0.01611991,0.006944961
14/06/22,141.7,-0.014055107,-0.006147358
15/06/22,141.98,0.001976006,0.000857322
16/06/22,139.98,-0.014086491,-0.006161183
17/06/22,139.97,-7.14388E-05,-3.10266E-05
20/06/22,137.23,-0.019575623,-0.008585899
21/06/22,138.91,0.012242221,0.005284448
22/06/22,136.16,-0.019796991,-0.008683969
23/06/22,134.93,-0.00903349,-0.003941022
24/06/22,135.84,0.006744238,0.002919153
27/06/22,138.13,0.016858068,0.007260339
28/06/22,136.18,-0.014117136,-0.006174682
29/06/22,135.67,-0.003745043,-0.001629505
30/06/22,135.76,0.000663374,0.000288004
01/07/22,138.83,0.022613435,0.009711494
04/07/22,142.11,0.023626017,0.010141316
05/07/22,132.15,-0.070086553,-0.031557472
06/07/22,127.05,-0.038592509,-0.017092498
07/07/22,123.65,-0.026761118,-0.011780549
08/07/22,123.86,0.001698342,0.000736955
11/07/22,123.99,0.001049572,0.000455584
12/07/22,124.92,0.007500605,0.003245316
13/07/22,124.9,-0.000160102,-6.95372E-05
14/07/22,124.22,-0.005444355,-0.002370913
15/07/22,124.77,0.004427628,0.00191865
18/07/22,122.01,-0.022120702,-0.009714748
19/07/22,123.95,0.015900336,0.006851104
20/07/22,122.89,-0.008551835,-0.003729987
21/07/22,122.27,-0.005045162,-0.002196632
22/07/22,121.6,-0.005479676,-0.002386337
25/07/22,121.09,-0.004194079,-0.001825296
26/07/22,122.39,0.010735816,0.004637656
27/07/22,124.25,0.01519732,0.006550463
28/07/22,126.82,0.020684105,0.008891351
29/07/22,127.03,0.00165589,0.000718549
01/08/22,124.68,-0.018499567,-0.008109504
02/08/22,124.05,-0.005052936,-0.002200025
03/08/22,122.1,-0.015719468,-0.006881105
04/08/22,123.35,0.01023751,0.00442349
05/08/22,122.92,-0.003486015,-0.001516602
09/08/22,122.63,-0.002359258,-0.001025823
10/08/22,124.12,0.012150371,0.005245039
11/08/22,127.78,0.029487593,0.012621117
12/08/22,130.93,0.024651745,0.010576284
15/08/22,129.56,-0.010463607,-0.004568229
16/08/22,131.55,0.015359679,0.006619913
17/08/22,131.71,0.001216268,0.000527897
18/08/22,133.94,0.016931137,0.007291545
19/08/22,132.23,-0.012766911,-0.005580297
22/08/22,132.97,0.005596309,0.002423671
23/08/22,131.74,-0.009250207,-0.00403601
24/08/22,130.39,-0.010247457,-0.004473374
25/08/22,130.83,0.003374492,0.001463056
26/08/22,129.47,-0.010395169,-0.004538193
29/08/22,128.81,-0.005097706,-0.002219568
30/08/22,129.4,0.00458039,0.001984696
31/08/22,126.27,-0.024188563,-0.010634096
01/09/22,129.7,0.027164014,0.011639796
02/09/22,129.71,7.7101E-05,3.34832E-05
05/09/22,130.25,0.004163133,0.001804273
06/09/22,129.04,-0.009289827,-0.004053378
07/09/22,131.82,0.021543707,0.009256953
08/09/22,132.17,0.002655136,0.001151583
09/09/22,131.71,-0.003480366,-0.00151414
12/09/22,135.57,0.02930681,0.012544846
13/09/22,132.9,-0.019694623,-0.008638615
14/09/22,133.74,0.006320542,0.002736338
15/09/22,131.89,-0.01383281,-0.006049451
19/09/22,129.01,-0.021836379,-0.009588493
20/09/22,127.88,-0.008759011,-0.003820748
21/09/22,126.88,-0.007819831,-0.003409458
22/09/22,126.71,-0.001339849,-0.000582279
23/09/22,124.16,-0.020124694,-0.008829187
26/09/22,122.24,-0.015463918,-0.006768363
27/09/22,123.99,0.014316099,0.006173319
28/09/22,125.37,0.01112993,0.004806966
29/09/22,123.67,-0.013559863,-0.005929265
