"","fechaPred","varHist","varHistPonde"
"4","5-Jan-16",NA,NA
"5","6-Jan-16",NA,NA
"6","7-Jan-16",NA,NA
"7","8-Jan-16",NA,NA
"8","11-Jan-16",NA,NA
"11","12-Jan-16",NA,NA
"12","13-Jan-16",NA,NA
"13","14-Jan-16",NA,NA
"14","15-Jan-16",NA,NA
"15","18-Jan-16",NA,NA
"18","19-Jan-16",NA,NA
"19","20-Jan-16",NA,NA
"20","21-Jan-16",NA,NA
"21","22-Jan-16",NA,NA
"22","25-Jan-16",NA,NA
"25","26-Jan-16",NA,NA
"26","27-Jan-16",NA,NA
"27","28-Jan-16",NA,NA
"28","29-Jan-16",NA,NA
"29","2-Feb-16",NA,NA
"33","3-Feb-16",NA,NA
"34","4-Feb-16",NA,NA
"35","5-Feb-16",NA,NA
"36","8-Feb-16",NA,NA
"39","9-Feb-16",NA,NA
"40","10-Feb-16",NA,NA
"41","11-Feb-16",NA,NA
"42","12-Feb-16",NA,NA
"43","15-Feb-16",NA,NA
"46","16-Feb-16",NA,NA
"47","17-Feb-16",NA,NA
"48","18-Feb-16",NA,NA
"49","19-Feb-16",NA,NA
"50","22-Feb-16",NA,NA
"53","23-Feb-16",NA,NA
"54","24-Feb-16",NA,NA
"55","25-Feb-16",NA,NA
"56","26-Feb-16",NA,NA
"57","29-Feb-16",NA,NA
"60","1-Mar-16",NA,NA
"61","2-Mar-16",NA,NA
"62","3-Mar-16",NA,NA
"63","4-Mar-16",NA,NA
"64","7-Mar-16",NA,NA
"67","8-Mar-16",NA,NA
"68","9-Mar-16",NA,NA
"69","10-Mar-16",NA,NA
"70","11-Mar-16",NA,NA
"71","14-Mar-16",NA,NA
"74","15-Mar-16",NA,NA
"75","16-Mar-16",NA,NA
"76","17-Mar-16",NA,NA
"77","18-Mar-16",NA,NA
"78","22-Mar-16",NA,NA
"82","23-Mar-16",NA,NA
"83","28-Mar-16",NA,NA
"88","29-Mar-16",NA,NA
"89","30-Mar-16",NA,NA
"90","31-Mar-16",NA,NA
"91","1-Apr-16",NA,NA
"92","4-Apr-16",NA,NA
"95","5-Apr-16",NA,NA
"96","6-Apr-16",NA,NA
"97","7-Apr-16",NA,NA
"98","8-Apr-16",NA,NA
"99","11-Apr-16",NA,NA
"102","12-Apr-16",NA,NA
"103","13-Apr-16",NA,NA
"104","14-Apr-16",NA,NA
"105","15-Apr-16",NA,NA
"106","18-Apr-16",NA,NA
"109","19-Apr-16",NA,NA
"110","20-Apr-16",NA,NA
"111","21-Apr-16",NA,NA
"112","22-Apr-16",NA,NA
"113","25-Apr-16",NA,NA
"116","26-Apr-16",NA,NA
"117","27-Apr-16",NA,NA
"118","28-Apr-16",NA,NA
"119","29-Apr-16",NA,NA
"120","2-May-16",NA,NA
"123","3-May-16",NA,NA
"124","4-May-16",NA,NA
"125","5-May-16",NA,NA
"126","6-May-16",NA,NA
"127","9-May-16",NA,NA
"130","10-May-16",NA,NA
"131","11-May-16",NA,NA
"132","12-May-16",NA,NA
"133","13-May-16",NA,NA
"134","16-May-16",NA,NA
"137","17-May-16",NA,NA
"138","18-May-16",NA,NA
"139","19-May-16",NA,NA
"140","20-May-16",NA,NA
"141","23-May-16",NA,NA
"144","24-May-16",NA,NA
"145","25-May-16",NA,NA
"146","26-May-16",NA,NA
"147","27-May-16",NA,NA
"148","30-May-16",NA,NA
"151","31-May-16",NA,NA
"152","1-Jun-16",NA,NA
"153","2-Jun-16",NA,NA
"154","3-Jun-16",NA,NA
"155","6-Jun-16",NA,NA
"158","7-Jun-16",NA,NA
"159","8-Jun-16",NA,NA
"160","9-Jun-16",NA,NA
"161","10-Jun-16",NA,NA
"162","13-Jun-16",NA,NA
"165","14-Jun-16",NA,NA
"166","15-Jun-16",NA,NA
"167","16-Jun-16",NA,NA
"168","17-Jun-16",NA,NA
"169","20-Jun-16",NA,NA
"172","21-Jun-16",NA,NA
"173","22-Jun-16",NA,NA
"174","23-Jun-16",NA,NA
"175","24-Jun-16",NA,NA
"176","27-Jun-16",NA,NA
"179","28-Jun-16",NA,NA
"180","29-Jun-16",NA,NA
"181","30-Jun-16",NA,NA
"182","1-Jul-16",NA,NA
"183","4-Jul-16",NA,NA
"186","5-Jul-16",NA,NA
"187","6-Jul-16",NA,NA
"188","7-Jul-16",NA,NA
"189","8-Jul-16",NA,NA
"190","11-Jul-16",NA,NA
"193","12-Jul-16",NA,NA
"194","13-Jul-16",NA,NA
"195","14-Jul-16",NA,NA
"196","15-Jul-16",NA,NA
"197","18-Jul-16",NA,NA
"200","19-Jul-16",NA,NA
"201","20-Jul-16",NA,NA
"202","21-Jul-16",NA,NA
"203","22-Jul-16",NA,NA
"204","25-Jul-16",NA,NA
"207","26-Jul-16",NA,NA
"208","27-Jul-16",NA,NA
"209","28-Jul-16",NA,NA
"210","29-Jul-16",NA,NA
"211","1-Aug-16",NA,NA
"214","2-Aug-16",NA,NA
"215","3-Aug-16",NA,NA
"216","4-Aug-16",NA,NA
"217","5-Aug-16",NA,NA
"218","8-Aug-16",NA,NA
"221","9-Aug-16",NA,NA
"222","10-Aug-16",NA,NA
"223","11-Aug-16",NA,NA
"224","12-Aug-16",NA,NA
"225","15-Aug-16",NA,NA
"228","16-Aug-16",NA,NA
"229","17-Aug-16",NA,NA
"230","18-Aug-16",NA,NA
"231","19-Aug-16",NA,NA
"232","22-Aug-16",NA,NA
"235","23-Aug-16",NA,NA
"236","24-Aug-16",NA,NA
"237","25-Aug-16",NA,NA
"238","26-Aug-16",NA,NA
"239","29-Aug-16",NA,NA
"242","30-Aug-16",NA,NA
"243","31-Aug-16",NA,NA
"244","1-Sep-16",NA,NA
"245","2-Sep-16",NA,NA
"246","5-Sep-16",NA,NA
"249","6-Sep-16",NA,NA
"250","7-Sep-16",NA,NA
"251","8-Sep-16",NA,NA
"252","9-Sep-16",NA,NA
"253","12-Sep-16",NA,NA
"256","13-Sep-16",NA,NA
"257","14-Sep-16",NA,NA
"258","15-Sep-16",NA,NA
"259","19-Sep-16",NA,NA
"263","20-Sep-16",NA,NA
"264","21-Sep-16",NA,NA
"265","22-Sep-16",NA,NA
"266","23-Sep-16",NA,NA
"267","26-Sep-16",NA,NA
"270","27-Sep-16",NA,NA
"271","28-Sep-16",NA,NA
"272","29-Sep-16",NA,NA
"273","30-Sep-16",NA,NA
"274","3-Oct-16",NA,NA
"277","4-Oct-16",NA,NA
"278","5-Oct-16",NA,NA
"279","6-Oct-16",NA,NA
"280","7-Oct-16",NA,NA
"281","10-Oct-16",NA,NA
"284","11-Oct-16",NA,NA
"285","12-Oct-16",NA,NA
"286","13-Oct-16",NA,NA
"287","14-Oct-16",NA,NA
"288","17-Oct-16",NA,NA
"291","18-Oct-16",NA,NA
"292","19-Oct-16",NA,NA
"293","20-Oct-16",NA,NA
"294","21-Oct-16",NA,NA
"295","24-Oct-16",NA,NA
"298","25-Oct-16",NA,NA
"299","26-Oct-16",NA,NA
"300","27-Oct-16",NA,NA
"301","28-Oct-16",NA,NA
"302","31-Oct-16",NA,NA
"305","1-Nov-16",NA,NA
"306","3-Nov-16",NA,NA
"308","4-Nov-16",NA,NA
"309","7-Nov-16",NA,NA
"312","8-Nov-16",NA,NA
"313","9-Nov-16",NA,NA
"314","10-Nov-16",NA,NA
"315","11-Nov-16",NA,NA
"316","14-Nov-16",NA,NA
"319","15-Nov-16",NA,NA
"320","16-Nov-16",NA,NA
"321","17-Nov-16",NA,NA
"322","18-Nov-16",NA,NA
"323","22-Nov-16",NA,NA
"327","23-Nov-16",NA,NA
"328","24-Nov-16",NA,NA
"329","25-Nov-16",NA,NA
"330","28-Nov-16",NA,NA
"333","29-Nov-16",NA,NA
"334","30-Nov-16",NA,NA
"335","1-Dec-16",NA,NA
"336","2-Dec-16",NA,NA
"337","5-Dec-16",NA,NA
"340","6-Dec-16",NA,NA
"341","7-Dec-16",NA,NA
"342","8-Dec-16",NA,NA
"343","9-Dec-16",NA,NA
"344","13-Dec-16",NA,NA
"348","14-Dec-16",NA,NA
"349","15-Dec-16",NA,NA
"350","16-Dec-16",NA,NA
"351","19-Dec-16",NA,NA
"354","20-Dec-16",NA,NA
"355","21-Dec-16",NA,NA
"356","22-Dec-16",NA,NA
"357","23-Dec-16",NA,NA
"358","26-Dec-16",NA,NA
"361","27-Dec-16",NA,NA
"362","28-Dec-16",NA,NA
"363","29-Dec-16",NA,NA
"364","30-Dec-16",NA,NA
"365","2-Jan-17",1.27290545737876,1.48140536469117
"368","3-Jan-17",1.24274748277102,1.48140536469117
"369","4-Jan-17",1.24274748277102,1.48140536469117
"370","5-Jan-17",1.24274748277102,1.48140536469117
"371","6-Jan-17",1.23448794203145,1.39586444357078
"372","9-Jan-17",1.24274748277102,1.39760675356088
"375","10-Jan-17",1.24274748277102,1.39760675356088
"376","11-Jan-17",1.24274748277102,1.39760675356088
"377","12-Jan-17",1.24274748277102,1.39760675356088
"378","13-Jan-17",1.24274748277102,1.39760675356088
"379","16-Jan-17",1.24274748277102,1.39760675356088
"382","17-Jan-17",1.24274748277102,1.39760675356088
"383","18-Jan-17",1.24274748277102,1.39760675356088
"384","19-Jan-17",1.24274748277102,1.39760675356088
"385","20-Jan-17",1.24274748277102,1.39760675356088
"386","23-Jan-17",1.24274748277102,1.39760675356088
"389","24-Jan-17",1.24274748277102,1.39760675356088
"390","25-Jan-17",1.24274748277102,1.39760675356088
"391","26-Jan-17",1.24274748277102,1.39760675356088
"392","27-Jan-17",1.27290545737876,1.39760675356088
"393","30-Jan-17",1.27290545737876,1.39586444357078
"396","31-Jan-17",1.27290545737876,1.39586444357078
"397","1-Feb-17",1.27290545737876,1.39586444357078
"398","2-Feb-17",1.27290545737876,1.39586444357078
"399","3-Feb-17",1.27290545737876,1.39586444357078
"400","7-Feb-17",1.27290545737876,1.39586444357078
"404","8-Feb-17",1.27290545737876,1.39586444357078
"405","9-Feb-17",1.27290545737876,1.38579528352151
"406","10-Feb-17",1.27290545737876,1.38579528352151
"407","13-Feb-17",1.27290545737876,1.38579528352151
"410","14-Feb-17",1.27290545737876,1.38579528352151
"411","15-Feb-17",1.27290545737876,1.38579528352151
"412","16-Feb-17",1.27290545737876,1.38579528352151
"413","17-Feb-17",1.27290545737876,1.38579528352151
"414","20-Feb-17",1.27290545737876,1.38579528352151
"417","21-Feb-17",1.27290545737876,1.38579528352151
"418","22-Feb-17",1.27290545737876,1.38579528352151
"419","23-Feb-17",1.27290545737876,1.38579528352151
"420","24-Feb-17",1.27290545737876,1.38579528352151
"421","27-Feb-17",1.27290545737876,1.38579528352151
"424","28-Feb-17",1.27290545737876,1.31830624899417
"425","1-Mar-17",1.27290545737876,1.31830624899417
"426","2-Mar-17",1.27290545737876,1.24440670178588
"427","3-Mar-17",1.27290545737876,1.24440670178588
"428","6-Mar-17",1.27290545737876,1.22049218621835
"431","7-Mar-17",1.27290545737876,1.1308378028279
"432","8-Mar-17",1.27290545737876,1.1308378028279
"433","9-Mar-17",1.27290545737876,1.1308378028279
"434","10-Mar-17",1.27290545737876,1.1308378028279
"435","13-Mar-17",1.27290545737876,1.1308378028279
"438","14-Mar-17",1.27290545737876,1.1308378028279
"439","15-Mar-17",1.27290545737876,1.05616439536092
"440","16-Mar-17",1.27290545737876,1.05616439536092
"441","17-Mar-17",1.27290545737876,1.05616439536092
"442","21-Mar-17",1.27290545737876,1.05616439536092
"446","22-Mar-17",1.27290545737876,1.05616439536092
"447","23-Mar-17",1.27290545737876,1.05616439536092
"448","24-Mar-17",1.27290545737876,1.05616439536092
"449","27-Mar-17",1.27290545737876,1.05616439536092
"452","28-Mar-17",1.27290545737876,1.04539952173407
"453","29-Mar-17",1.27290545737876,1.04539952173407
"454","30-Mar-17",1.27290545737876,1.04539952173407
"455","31-Mar-17",1.27290545737876,1.04539952173407
