"","varHist","varHistPonde"
"4",NA,NA
"5",NA,NA
"6",NA,NA
"7",NA,NA
"8",NA,NA
"11",NA,NA
"12",NA,NA
"13",NA,NA
"14",NA,NA
"15",NA,NA
"18",NA,NA
"19",NA,NA
"20",NA,NA
"21",NA,NA
"22",NA,NA
"25",NA,NA
"26",NA,NA
"27",NA,NA
"28",NA,NA
"29",NA,NA
"33",NA,NA
"34",NA,NA
"35",NA,NA
"36",NA,NA
"39",NA,NA
"40",NA,NA
"41",NA,NA
"42",NA,NA
"43",NA,NA
"46",NA,NA
"47",NA,NA
"48",NA,NA
"49",NA,NA
"50",NA,NA
"53",NA,NA
"54",NA,NA
"55",NA,NA
"56",NA,NA
"57",NA,NA
"60",NA,NA
"61",NA,NA
"62",NA,NA
"63",NA,NA
"64",NA,NA
"67",NA,NA
"68",NA,NA
"69",NA,NA
"70",NA,NA
"71",NA,NA
"74",NA,NA
"75",NA,NA
"76",NA,NA
"77",NA,NA
"78",NA,NA
"82",NA,NA
"83",NA,NA
"88",NA,NA
"89",NA,NA
"90",NA,NA
"91",NA,NA
"92",NA,NA
"95",NA,NA
"96",NA,NA
"97",NA,NA
"98",NA,NA
"99",NA,NA
"102",NA,NA
"103",NA,NA
"104",NA,NA
"105",NA,NA
"106",NA,NA
"109",NA,NA
"110",NA,NA
"111",NA,NA
"112",NA,NA
"113",NA,NA
"116",NA,NA
"117",NA,NA
"118",NA,NA
"119",NA,NA
"120",NA,NA
"123",NA,NA
"124",NA,NA
"125",NA,NA
"126",NA,NA
"127",NA,NA
"130",NA,NA
"131",NA,NA
"132",NA,NA
"133",NA,NA
"134",NA,NA
"137",NA,NA
"138",NA,NA
"139",NA,NA
"140",NA,NA
"141",NA,NA
"144",NA,NA
"145",NA,NA
"146",NA,NA
"147",NA,NA
"148",NA,NA
"151",NA,NA
"152",NA,NA
"153",NA,NA
"154",NA,NA
"155",NA,NA
"158",NA,NA
"159",NA,NA
"160",NA,NA
"161",NA,NA
"162",NA,NA
"165",NA,NA
"166",NA,NA
"167",NA,NA
"168",NA,NA
"169",NA,NA
"172",NA,NA
"173",NA,NA
"174",NA,NA
"175",NA,NA
"176",NA,NA
"179",NA,NA
"180",NA,NA
"181",NA,NA
"182",NA,NA
"183",NA,NA
"186",NA,NA
"187",NA,NA
"188",NA,NA
"189",NA,NA
"190",NA,NA
"193",NA,NA
"194",NA,NA
"195",NA,NA
"196",NA,NA
"197",NA,NA
"200",NA,NA
"201",NA,NA
"202",NA,NA
"203",NA,NA
"204",NA,NA
"207",NA,NA
"208",NA,NA
"209",NA,NA
"210",NA,NA
"211",NA,NA
"214",NA,NA
"215",NA,NA
"216",NA,NA
"217",NA,NA
"218",NA,NA
"221",NA,NA
"222",NA,NA
"223",NA,NA
"224",NA,NA
"225",NA,NA
"228",NA,NA
"229",NA,NA
"230",NA,NA
"231",NA,NA
"232",NA,NA
"235",NA,NA
"236",NA,NA
"237",NA,NA
"238",NA,NA
"239",NA,NA
"242",NA,NA
"243",NA,NA
"244",NA,NA
"245",NA,NA
"246",NA,NA
"249",NA,NA
"250",NA,NA
"251",NA,NA
"252",NA,NA
"253",NA,NA
"256",NA,NA
"257",NA,NA
"258",NA,NA
"259",NA,NA
"263",NA,NA
"264",NA,NA
"265",NA,NA
"266",NA,NA
"267",NA,NA
"270",NA,NA
"271",NA,NA
"272",NA,NA
"273",NA,NA
"274",NA,NA
"277",NA,NA
"278",NA,NA
"279",NA,NA
"280",NA,NA
"281",NA,NA
"284",NA,NA
"285",NA,NA
"286",NA,NA
"287",NA,NA
"288",NA,NA
"291",NA,NA
"292",NA,NA
"293",NA,NA
"294",NA,NA
"295",NA,NA
"298",NA,NA
"299",NA,NA
"300",NA,NA
"301",NA,NA
